asin,description,about,overview
B00MWNWDD0,"Nokia Lumia 530, is an entry-level smartphone running on Microsoft Windows Phone 8.1. It features a 4.0-inch multi-touch display with a resolution of 480 x 854 pixels, resulting a pixel density of 245 ppi. The chip inside is Qualcomm Snapdragon 200 with quad-core 1.2 GHz CPU and Adreno 302 GPU. System memory is 512 MB RAM, while internal storage is only 4 GB. That’s very limited storage capacity, but you can have more storage with a microSD card up to 128 GB. A camera with 1/4” sensor size can capture images up to 5 MP. For video capture, the camera supports up to 480p @ 30fps. It doesn’t have secondary camera. For internet access via mobile network, it supports HSPA+ 21 Mbps and HSUPA 5.76 Mbps. Wi-Fi 802.11 b/g/n allows you to connect to wireless router around you. This Lumia smartphone can be used as a portable hotspot too. Bluetooth 4.0 makes transferring files easy. Equipped with Lithium-Ion 1430 mAh battery, it provides up to 528 hours of stand-by time and up to 51 hours for playing music. Lumia 530 has some color options including dark grey, bright green, bright orange, and white. Data/Connectivity GPRS, EDGE up to 236.8 kbps, UMTS, HSUPA 5.76 Mbps, HSPA+ 21 Mbps Wi-Fi 802.11 b/g/n, Wi-Fi hotspot microUSB 2.0 Bluetooth 4.0, A2DP Battery Lithium-Ion 1430 mAh (BL-5J) Stand-by Time: up to 528 hours Talk Time: up to 13 hours 20 minutes (2G) / up to 10 hours (3G) Music Playback Time: up to 51 hours Dimensions and Weight 119.7 x 62.3 x 11.7 mm 129 grams Colors Dark grey, Bright green, Bright orange, White Features Active noise cancellation with dedicated mic GPS with A-GPS and GLONASS Micro-SIM 3.5mm audio jack Accelerometer FM Radio MP4, WMV, H.264, H.263 MP3, eAAC+, WAV, WMA","['Network 2G: GSM 850 / 900 / 1800 / 1900 3G UMTS 850 / 900 / 1900 / 2100 MHz (RM-1018)', 'Display: 4.0-inch 480 x 854 pixels 245 ppi pixel density 16M colors Capacitive multi-touch', 'Processor Qualcomm Snapdragon 200 chipset Quad-core 1.2 GHz CPU Adreno 302 GPU', 'RAM & Storage 512 MB RAM 4 GB internal storage microSD, up to 128 GB', 'Camera 5 MP (2592 x 1936 pixels) rear camera 480p video capture @ 30fps 1/4” sensor size']","['Model Name: Lumia 530', 'Wireless Carrier: Movistar', 'Brand: Nokia', 'Form Factor: Smartphone', 'Memory Storage Capacity: 128 GB', 'Operating System: Windows 8.1', 'Color: Green', 'Cellular Technology: 3G', 'Year: 2014', 'Screen Size: 4 Inches']"
B00N3FSWG8,,"[""The new Samsung Galaxy Avant doesn't just simplify all the things you love to do on your mobile - it amplifies them."", ""Don't miss a beat with the blazing-fast 4G LTE connection. Downloads. Uploads. Video streaming. Web surfing. Watch your media flowing seamlessly—all at speeds you’ll love."", 'Use Easy Mode to simplify your home screen with bigger icons and only your favorite apps.', 'The 4.5"" qHD display provides a gorgeous new perspective. Its impressive pixel density makes the colors in pictures, texts, movies and more burst to life.']","['Model Name: Galaxy Avant', 'Wireless Carrier: T-Mobile', 'Brand: Samsung Electronics', 'Form Factor: Smartphone', 'Memory Storage Capacity: 16 GB', 'Color: Black', 'Cellular Technology: 4G', 'Included Components: Video Recorder, Camera', 'Screen Size: 4.5 Inches', 'Display Type: QHD touchscreen']"
B00ONSBYLE,"Demand greatness in a compact smartphone. Combining everything that makes Sony smartphones great, the Xperia Z3 Compact redefines what it means to be “smart” and compact. The Xperia Z3 Compact pushes the boundaries of quality and innovation to deliver uncompromised high-end performance in a comfortable, compact design. Featuring the world’s best camera and camcorder technology in a waterproof compact smartphone, the Xperia Z3 Compact lets you capture the moments that matter in high quality. Also, with its innovative audio and visual technologies, you can use the Xperia Z3 Compact to immerse yourself in a world of great entertainment. You can even use PS4 Remote Play to keep your epic PS4 missions going away from your TV via your home Wi-Fi. The Xperia Z3 Compact delivers greatness in a comfortable, compact smartphone.","['Compact Design - a premium smartphone that easily fits in your pocket and is designed for comfortable one-hand use.', 'Waterproof, dust-tight design - don’t let the mud, or a spill, or the wet weather slow you down', '20MP camera with ISO 12800 - shoot brighter, clearer images even in low-light conditions', 'Extended 2600 mAh battery life - take your active lifestyle further with high-powered battery performance that keeps you going', 'PS4(TM) Remote Play - continue your PS4 games anywhere in your home via your local Wi-Fi', 'Unlocked cell phones are compatible with GSM carriers like AT&T and T-Mobile as well as with GSM SIM cards (e.g. H20, Straight Talk, and select prepaid carriers). Unlocked cell phones will not work with CDMA Carriers like Sprint, Verizon, Boost or Virgin.']","['Model Name: Xperia Z3 Compact - Orange', 'Wireless Carrier: T-Mobile', 'Brand: Sony', 'Form Factor: Smartphone', 'Memory Storage Capacity: 16 GB', 'Operating System: Android 4.4', 'Color: Orange', 'Cellular Technology: 2G', 'Year: 2014', 'Screen Size: 4.6']"
B00PR2QSU2,,"['works with AT&T', 'Windows Phone']","['Brand: Nokia', 'Form Factor: Smartphone', 'Memory Storage Capacity: 8 GB', 'Operating System: Windows_phone', 'Color: Black', 'Screen Size: 4 Inches', 'Manufacturer: Nokia', 'Human Interface Input: Touchscreen']"
B00RSBXHCW,Ultra-light weight Ultra-comfortable grip,"['International Model - No Warranty in US. Compatible with Most GSM Carriers like T-Mobile, AT&T, MetroPCS, etc. Will NOT work with CDMA Carriers Such as Verizon, Sprint, Cricket, Boost. - FCC ID: 2AFZZK9AG', 'Dual Nano sim 4G: LTE 1/2/3/4/5/7/8/12/17/20/28/32/38/40/41/66 3G: HSDPA 850/900/1700(AWS)/1900/2100 2G: Quad Band', '128GB 8GB RAM, Qualcomm SM7150 Snapdragon 732G (8 nm), Octa-core, Adreno 618, Android 11, MIUI 12', '6.55"" FHD+ AMOLED DotDisplay,2400x1080, 402ppi, Refresh rate: 60/90Hz, Aspect ratio: 20:9', 'Rear Camera: 64MP, f/1.8 + 8MP, f/2.2 + 5MP, f/2.4, Front Camera: 16MP, f/2.5, Bluetooth 5.1, 4250mAh battery', '6.55"" FHD+ AMOLED DotDisplay,2400x1080, 402ppi, Refresh rate: 60/90Hz, Aspect ratio: 20:9']","['Model Name: MI 11 LITE', 'Wireless Carrier: Unlocked for All Carriers', 'Brand: Xiaomi', 'Form Factor: Smartphone', 'Memory Storage Capacity: 4 GB', 'Operating System: Android', 'Color: Peach Pink', 'Cellular Technology: 4G', 'SIM card slot count: Dual SIM', 'Year: 2021']"
B00SIE2YQ8,"Start getting more without spending more. Moto E gives you plenty of features —; like a big, brilliant display that's one of the sharpest in its class and built-in protection from scrapes, spills and smudges —; without an annual contract. Choose from flexible prepaid plans for the package that best suits your needs. With the Android 5.0 (Lollipop) operating system, a fast quad-core processor and Verizon 4G LTE, the Moto E gives you all the power you want in a smartphone. *SIM Card not included","['2,390mAh battery', '5MP rear-facing camera and auto focus', 'Moto E smartphone includes VGA front-facing camera', '4.5"" qHD display']","['Model Name: Moto E', 'Wireless Carrier: Verizon', 'Brand: Motorola', 'Form Factor: Smartphone', 'Memory Storage Capacity: 8 GB', 'Operating System: Android', 'Color: Black', 'Cellular Technology: 4G', 'Screen Size: 4.5 Inches', 'Manufacturer: Motorola']"
B00THPVPQW,"With its powerful quad-core processor and Windows operating system, the Lumia 635 keeps up with your day-to-day activities.","['2G: GSM 850 / 900 / 1800 / 1900, 3G: HSDPA 850 / 1700 / 1900 / 2100, 4G: LTE 700 / 850 / 1700 / 1900 / 2100 / 2600 (Bands 2, 4, 5, 7, 17)', '4.5-inch IPS LCD Multi-Touchscreen w/ ClearBlack display and Protective Corning Gorilla Glass 3', 'Microsoft Windows Phone 8.1, Quad-Core 1.2 GHz Cortex-A7 Processor, Chipset: Qualcomm Snapdragon 4, Adreno 305 Graphics', '5 Megapixel Camera (2592 ? 1944 pixels) w/ Autofocus, 1/4-inch sensor size, Geo-Tagging, Panorama + Video', 'Internal Memory: 8GB, 512 MB/ 1GB RAM + microSD Slot Expandable up to 128GB']","['Model Name: Lumia 635', 'Wireless Carrier: Unlocked', 'Brand: Nokia', 'Form Factor: Smartphone', 'Memory Storage Capacity: 8 GB', 'Operating System: Windows_phone', 'Color: Black', 'Cellular Technology: 4G, 3G, 2G', 'Screen Size: 4.5 Inches', 'Display Type: LCD']"
B00V7FY076,"Finally, a Smartphone that's more than simply beautiful. The Samsung Galaxy S6 edge has evolved its design, both inside and out. The Samsung Galaxy S6 edge lets you: Easily hold, text, call, and more with its stunning metal bezel, sophisticated glass, and two revolutionary edge screens. Watch images and videos come to life on the 5.1"" Quad HD Super AMOLEDdisplay, even in sunlight. Work, watch, and game at blazing-fast speeds. Capture amazing photos with the fast-focus camera and take epic wide-angle selfies. Use Ultra Power Saving Mode,1 Fast Charging,2 or wireless charging3 to extend your Smartphone's battery life when it's running low.","['Display: 5.10-inches', 'Camera: 16-MP', 'Processor Speed: OCTA Core 64-bit', 'OS: Android 5.0 (Lollipop)']","['Model Name: Galaxy S6 edge', 'Wireless Carrier: Verizon', 'Brand: Samsung Electronics', 'Form Factor: Candy_bar', 'Memory Storage Capacity: 32 GB', 'Operating System: Android', 'Color: Black', 'Cellular Technology: 4G', 'Included Components: Pre-Installed SIM Card, Galaxy S6 Edge, Wall Charger, SIM Removal Tool, Stereo Headset, USB Cable, Quick Start Guide', 'Screen Size: 5.1 Inches']"
B00WY705Q6,"The Nokia Lumia 1320 - Make an impact! Continuing to redefine smartphone innovation, Nokia introduce the Lumia 1320. With a 6"" display and the latest software advancements for Windows Phone, the Lumia 1320 is perfectly suited for both productivity and entertainment. Thanks to the increased screen size, a new third column of tiles on the home screen means people can see and do more. Bringing larger displays to the award-winning Lumia design, the new format is coupled with some of the most advanced camera innovations so people can capture and share the world around them. With A 720p HD display, 4G LTE connectivity and a smart design available in a range of colours, Nokia have designed the Lumia 1320 to be far more than just a smartphone. Get more out of your videos, games and apps with the big screen, and turn your moments into great stories with Nokia Camera, Nokia Storyteller and exclusive photo editing tools like Cinemagraph and Creative Studio. The Lumia 1320 will soon become an extension of your busy life. Pre-loaded Nokia Camera lets you capture great photos, and you can use the Smart mode to create a sequence of motion, add motion blur effects and more. Or create some magic with innovative photo editing tools like Creative Studio and Cinemagraph. Moving your apps, tunes and photos from your old phone is easy. The free Nokia app lets you seamlessly transition to your new Nokia Lumia. The pre-installed 'Transfer My Data' app on the Lumia range of phones moves all your contacts over using Bluetooth. Welcome Home to Windows Phone lets you move all your media and contacts in one go. With OneDrive, your photos, videos, notes and office docs are available to you wherever you are. A whopping 7Gb of free storage space and automatic sync means you'll never have to worry about losing your stuff.","['6.0-inch IPS LCD Capacitive Touchscreen, 720 x 1280 pixel resolution (~245ppi pixel density) + Corning Gorilla Glass 3 w/ ClearBlack Diplay', 'Microsoft Windows Phone OS, Chipset: Qualcomm MSM8930AB Snapdragon 400, Processor: Dual-Core 1.7 GHz Krait 300, GPU: Adreno 305', '5 Megapixel Camea with f/2.4 aperture, 28mm Lens, Autofocus, LED Flash, 1/4"" Sensor Size, Geo-tagging, Touch Focus + VGA Standard Front Camera; Video Capture: 1080p @ 30fps', 'Internal Memory: 8GB, 1GB RAM - microSD Up to 64GB', 'WLAN: Wi-Fi 802.11 b/g/n, hotspot; Bluetooth: v4.0, A2DP, EDR, LE, aptX; GPS: Yes, with A-GPS, GLONASS; Radio: FM Radio; USB: microUSB v2.0', 'Non-Removable Lithium Ion 3400 mAh Battery - Standby: Up to 672 h (2G) / Up to 672 h (3G), Talk Time: Up to 25 h (2G) / Up to 21 h (3G); Dimensions: 6.46 x 3.38 x 0.39 inches, Weight: 7.76 oz']","['Model Name: Lumia 1320', 'Wireless Carrier: AT&T', 'Brand: Nokia', 'Form Factor: Smartphone', 'Memory Storage Capacity: 8 GB', 'Operating System: Windows phone', 'Color: Orange', 'Cellular Technology: 4G', 'Screen Size: 6 Inches', 'Display Type: LCD']"
B011SDYBZW,"The iPhone 11 Pro Max feature Intels modems with Gigabit-class LTE, 4x4 MIMO, and LAA for speeds up to 1.6Gb/s, Wi-Fi 6 support (802.11ax), Bluetooth 5.0, Dual-SIM with eSIM, and an Apple-designed U1 Ultra Wideband chip that improves spatial awareness and allows for better indoor tracking","['This phone is compatible with carriers on the GSM network only (e.g. AT&T, T-Mobile, Metro).', 'Tested for battery health and guaranteed to come with a battery that exceeds 90% of original capacity.', ""Inspected and guaranteed to have minimal cosmetic damage, which is not noticeable when the device is held at arm's length. Successfully passed a full diagnostic test which ensures like-new functionality and removal of any prior-user personal information."", 'Includes a brand new, generic charging cable that is certified Mfi (Made for iPhone) and a brand new, generic wall plug that is UL certified for performance and safety. Also includes a SIM tray removal tool but does not come with headphones or a SIM card.', 'Backed by the same one-year satisfaction guarantee as brand new Apple products.']","['Model Name: IPhone 11', 'Wireless Carrier: T-Mobile', 'Brand: Apple', 'Form Factor: Foldable Case', 'Memory Storage Capacity: 64 GB', 'Operating System: IOS 14', 'Color: Purple', 'Cellular Technology: 2G', 'SIM card slot count: Dual SIM', 'Included Components: USB Cable']"
B0134ANFGS,"Affordable, Quad Core Power in the palm of your hand immersive dual - front stereo speakers 178 degree wide viewing angle Pixel Master cameras: 5MP (rear) and 2MP(front) with advanced shooting modes Anti-fingerprint coating ASUS ZenUi for easy organizing and prioritizing","['Immersive dual - front stereo speakers', '178 degree wide viewing angle', 'Pixel Master cameras: 5MP (rear) and 2MP(front) with advanced shooting modes', 'Anti-fingerprint coating', 'ASUS ZenUi for easy organizing and prioritizing']","['Model Name: Memo Pad', 'Wireless Carrier: AT&T', 'Brand: ASUS', 'Form Factor: Smartphone', 'Operating System: Android', 'Color: Dark Chocolate', 'Cellular Technology: 3G/4G/GSM', 'Screen Size: 7 Inches', 'Display Type: LCD', 'Manufacturer: AT&T']"
B015YCRZ1K,"The Nexus 6P is the new phone from Google with Android 6.0 Marshmallow. The 6P features a 5.7"" wqhd AMOLED display with 518 pixels per inch and a camera that takes beautiful photos in all light conditions. It's crafted from aeronautical-grade aluminum and precision engineered for optimal comfort and performance. The new Nexus sports the curves and contours of a machine built for turning heads. Diamond chamfers encircle its edges, and the new visor on the back of the device accents the low-light-loving, 12.3 MP, sapphire- crystal Lens camera.","['All-metal design Unlocked, LTE smartphone with a powerful 2GHz Snapdragon 810 V2.1 Processor and the newest Android software, Android 6.0 marshmallow.', 'A 5.7-Inch, high-resolution WQHD AMOLED display and front-facing stereo speakers to experience your photos and videos in cinematic Quality.', 'The powerful 12 MP Camera was built to capture your world in true-to-life detail. Larger 1.55 µM pixels absorb more light¹ in even the dimmest conditions to make your photos Brighter.', 'Quicker access and more security with a fingerprint sensor placed on the back to complement the way you naturally hold your Phone.', ""Long lasting 3,450 mAh battery with quick charging USB Type-C plug. it's reversible, so there's no more guessing which way is up."", 'Model Nin-A12; compatible with nano SIM Cards']","['Model Name: Nexus 6P', 'Wireless Carrier: Unlocked', 'Brand: HUAWEI', 'Form Factor: Smartphone', 'Memory Storage Capacity: 64 GB', 'Operating System: Android', 'Color: Graphite', 'Cellular Technology: LTE', 'Year: 2015', 'Included Components: Handset^Charger^C to C Cable^A to C Cable^QSG^SI^SIM Tool']"
B0192TCZWA,"This Verizon-exclusive Android phone sports a uniquely rugged design with shatterproof screen set inside a metal frame, a large battery, and custom color and material options including ballistic nylon or leather. Other key specs include a 5.4-inch quad-HD display, 21-megapixel camera, Qualcomm's fastest Snapdragon processor, and a large battery. Other features include Motorola's unique hands-free voice control and hand gestures, fast charging, wireless charging, memory card slot, and NFC.","['Motorola Droid Turbo 2 XT1585, 32GB - Gray - (Verizon Wireless) Clean ESN']","['Model Name: Droid Turbo 2', 'Wireless Carrier: Verizon', 'Brand: Motorola', 'Form Factor: Smartphone', 'Memory Storage Capacity: 32 GB', 'Color: Black', 'Cellular Technology: 4G, 3G, 2G', 'Screen Size: 5.4 Inches', 'Display Type: AMOLED', 'Manufacturer: Motorola']"
B01BHEBDVW,"The updated version of Droid Maxx wherein it has a bigger battery capacity and a better output display. The device sports a 21 MP camera that features LED flash, panorama, night mode, and many others. It also doubles as a camcorder that can record videos up to 1080p, has a slow-motion mode too at 540p. One of its key features is its 5.5"" screen that provides full HD display. It has a 16GB internal storage and it also has a memory card slot for expanded memory that supports microSD card up to 128GB. This device is powered by Android 5.1 that runs on Octa-Core processor on a 2GB RAM. Other features include 5MP front camera, NFC, Water Resistance, and fast charging.","['21 MP Camera w/ f/2.0, PDAF, Dual-LED Dual-Tone Flash, Panorama, 1080p @ 30fps + 5 MP Camera w/ f/2.0', 'Non-Removable 3630 capacity', 'Android OS, Qualcomm MSM8939 Snapdragon 615, Octa-Core (4x1.7 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53), Adreno 405', 'Wi-Fi 802.11 a/b/g/n, Dual-Band, Hotspot; Bluetooth 4.0, A2DP, LE, AptX; GPS: Yes with A-GPS; NFC: Yes; Radio: FM Radio; USB: microUSB 2.0', 'Internal Memory: 16GB 2GB RAM - microSD Up to 256 GB']","['Model Name: Droid Maxx 2', 'Wireless Carrier: Verizon', 'Brand: Motorola', 'Form Factor: Smartphone', 'Memory Storage Capacity: 16 GB', 'Operating System: Android 5.1', 'Color: White', 'Screen Size: 5.5 Inches', 'Manufacturer: Motorola', 'Other camera features: Rear, Front']"
